,pos,mid,neg
0,방긋,아직,회의적
1,상회,보통,바닥
2,신선,vs,이탈
3,신박,중립,떨어지
4,투혼,관망,안좋게
5,시장확대,지켜봐야,흑우
6,친절,그닥,낙폭
7,효과적,심심,미달
8,예방,딜레마,결별
9,선출,유감,파국
10,퍼펙트,희비,때리기
11,협력,랠리,쓸애기
12,열애,일희일비,탈세
13,번다,보류,패닉
14,윤리적,경계,하차
15,고민해결,진득,떨어
16,호황,승부수,곡소리
17,우승자,등락,위협
18,수있다,될까,피눈물
19,우승,양날,털린
20,기대,보고,악재
21,축하,발표,안정
22,상승,미적지근,고질적
23,ESG,느긋하게,폭낙
24,폭등,공방,약세
25,맞손,결과,적자
26,보호,갸우뚱,몸살
27,상한가,잠잠,빠진
28,이말올,취임,불행
29,신종,채용,불안
30,당첨,책임,병맛
31,개시,특사,하향
32,리뉴얼,사료,횡포
33,유망주,임명,호구
34,판매 부각,유지,사기
35,가치주,밸런스,약발
36,안전,엄중,전쟁
37,친환경적,엎치락뒤치락,해지
38,환호,교전,향방
39,자신감,물음표,날벼락
40,폭소,팽팽,불명예
41,승인,박빙,보릿고개
42,착수,득실,뇌물
43,높아,계륵,수급난
44,웃은,무결,추락
45,수혜,아리송,사태
46,뚫었,일진일퇴,울었다
47,실용적,스탠바이,이중고
48,기능강화,승패,허와실
49,사랑,대기,실업
50,성공,만류,주의
51,호감,카더라,폭망
52,우호,글쎄요,명암
53,성료,,처분
54,개선,,사고
55,껑충,,ㅈ같은
56,기부,,객관성
57,어메이징,,약진
58,호실적,,불건전
59,웃는,,쳐맞
60,상위권,,관리종목 지정
61,짭짤,,개장치사
62,대어,,난감
63,회복,,스레기
64,확보,,깨져
65,소망,,정지
66,상승장,,탈락
67,오르,,병신
68,이익,,감소
69,합병,,배신
70,뛰는,,잣같은
71,좋은책,,부진
72,만회,,과실
73,기레기,,흔들
74,결합할인,,필패
75,강추,,항의
76,파이팅,,끊어
77,선방,,개잡주
78,위생적,,차질
79,불어,,얼어붙은
80,빵터진,,부담
81,오픈,,불편
82,금리 인하,,저점
83,단독선두,,손해
84,수상작,,대피
85,엄단,,역차별
86,가입비 면제,,혼조
87,좋네,,후회
88,확장,,물렸
89,대단,,침해
90,창설,,적신호
91,무료,,허술
92,넘겨,,인플레
93,기분전환,,짜증
94,웃고,,감옥
95,육감적,,실패
96,고마워,,신중
97,낭만적,,혼란
98,가능,,빨간불
99,정밀,,좌절
100,대만족,,거지
101,큰장,,어려워
102,감사인사,,빼다
103,특별,,유가상승
104,권장,,불량
105,깨끗,,급락
106,국민주,,멸망
107,비용절감,,위기
108,우위,,빵점
109,매력,,무너
110,소신발언,,손실
111,정복,,쓰레기
112,적격,,전범
113,적정,,빠져나
114,청신호,,아래로
115,규제 완화,,불만
116,체결,,장애
117,기적,,철수
118,탄생,,화재
119,파격적,,능욕
120,혁신적,,금리 인상
121,시원,,못쓰는
122,시청률 상승,,안한
123,완벽,,먹튀
124,최고,,외면
125,저가매수,,멘붕
126,최선,,하한가
127,신고가,,분식회계
